Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates)2,Outward issue link (Relates),Outward issue link (Relates)3,Attachment,Attachment4,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Epic Link Summary,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
MyLikes||RFE|| Provide Cancel Icon For All The Sub Categories,SHOP-139,10138,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,Medium,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,27-02-2023 15:42,28-02-2023 15:06,28-02-2023 15:35,,,0,AccountSettings,"*STEPS TO REPRODUCE THE DEFECT:*

1.Open the chrome browser and enter test URL

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link]

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

2.click on Login button 

3.click on account settings icon

4.click on my Likes

*TEST DATA:*

Some Subcategories Should Be Added and Displayed

*RFE:*

Assume User have added 3 subcategories under a category , now user wants to remove only the 1st subcategory, it should be possible 

But now in the application if user wants to remove single subcategory it is not possible , all options will be removed.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,27/Feb/23 3:41 PM;63d9e6981b13d42998e12ada;Screenshot (297).png;https://shoppersstackv.atlassian.net/secure/attachment/10121/Screenshot+%28297%29.png,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000uf:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyOrders||RFE|| If User Wants to Cancel The Order , Should Provide Reason For Cancellation",SHOP-137,10136,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,Medium,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,27-02-2023 15:23,28-02-2023 15:06,28-02-2023 15:35,,,0,AccountSettings,"*STEPS TO REPRODUCE THE DEFECT:*

1.Open the chrome browser and enter test URL

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link]

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

2. click on Login button 

3.click on account settings icon

4.click on my orders

5.click on cancel order button, product  will be cancelled

*RFE:*

If User Wants to Cancel The Order , Should Provide Reason For Cancellation",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000tz:,,SHOP Sprint 3,,,,,,,,,,In Progress
MyLikes||Functionality|| When User selects Category and Dont Selects Sub Category It Is Accepting .,SHOP-132,10131,Bug,To Do,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 12:55,28-02-2023 15:07,28-02-2023 15:35,,,0,AccountSettings,"

*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Likes"" link

4.select a category

5. Dont select any sub category , click on submit and check

*OBSERVATIONS:*

It Is Accepting.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 12:54 PM;63d9e6981b13d42998e12ada;Screenshot (290).png;https://shoppersstackv.atlassian.net/secure/attachment/10116/Screenshot+%28290%29.png,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000sv:,,SHOP Sprint 3,,,,,,,,,"28/Feb/23 10:58 AM;63d9e6981b13d42998e12ada;**About Reopening The Defect**

Since This Defect Is Not Fixed Yet, User is Still Able To Select and Add Only Category Without SubCategory(Since Both Are Mandatory Fields)

[~accountid:63d89dd98978d7a4353878be] 
Kindly ReCheck Once and Fix It

*Thank You*",To Do
"MyAddresses||Functionality|| In Update Address Page ,Phone Number Text Field is Accepting Invalid Phone Numbers .",SHOP-131,10130,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 12:32,28-02-2023 15:07,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon
5.Click on ""Phone Number"" text field and Enter Invalid 10 Digit Phone Number Like 0000000000

6.Update the Adrress

*OBSERVATIONS:*

It Is Accepting.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 12:32 PM;63d9e6981b13d42998e12ada;Screenshot (289).png;https://shoppersstackv.atlassian.net/secure/attachment/10115/Screenshot+%28289%29.png,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000sn:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyAddresses||Functionality|| In Update Address Page ,Pincode Text Field is Accepting Invalid Pincode",SHOP-130,10129,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 12:12,28-02-2023 15:07,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon
5.Click on ""Pincode"" text field and Enter Invalid 6 Digit Pincode Like 000000

6.Update the Adrress

*OBSERVATIONS:*

Pincode Text Field is Accepting Invalid Pincode.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 12:11 PM;63d9e6981b13d42998e12ada;Screenshot (287).png;https://shoppersstackv.atlassian.net/secure/attachment/10114/Screenshot+%28287%29.png,24/Feb/23 12:11 PM;63d9e6981b13d42998e12ada;Screenshot (288).png;https://shoppersstackv.atlassian.net/secure/attachment/10113/Screenshot+%28288%29.png,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000sf:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyAddresses||Functionality|| In Update Address Page ,When user place cursor on Pincode Text Field It Is not displaying any tool tip.",SHOP-129,10128,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,Low,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 12:06,28-02-2023 15:08,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon
5.Place cursor on ""Pincode"" text field

*OBSERVATIONS:*

In Update Address Page ,When user place cursor on Pincode Text Field It Is not displaying any tool tip.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 12:05 PM;63d9e6981b13d42998e12ada;Screenshot (286).png;https://shoppersstackv.atlassian.net/secure/attachment/10112/Screenshot+%28286%29.png,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000s7:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyAddresses||Functionality|| In Update Address Page ,If User Not Selected Any Country and Click on City Drop down Options Are Displaying And It Is Accepting.",SHOP-128,10127,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 11:57,28-02-2023 15:08,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon

5.Click on  country drop down and Unselect the country

6.Click on  City  drop down and Check Options are displayed

7.update the address and check

*OBSERVATIONS:*

 If User Not Selected Any Country and Click on City Drop down Options Are Displaying And It Is Accepting.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 11:56 AM;63d9e6981b13d42998e12ada;Screenshot (285).png;https://shoppersstackv.atlassian.net/secure/attachment/10111/Screenshot+%28285%29.png,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000rz:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyAddresses||Functionality|| In Update Address Page , It Is Taking City Alone Without Country and State.",SHOP-127,10126,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 11:47,28-02-2023 15:08,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon

5.Click on  country drop down and Unselect the country

6.Click on  State  drop down and Dont select any state

7.update the address and check

*OBSERVATIONS:*

 It Is Taking City Alone Without Country and State.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 11:46 AM;63d9e6981b13d42998e12ada;Screenshot (283).png;https://shoppersstackv.atlassian.net/secure/attachment/10110/Screenshot+%28283%29.png,24/Feb/23 11:46 AM;63d9e6981b13d42998e12ada;Screenshot (284).png;https://shoppersstackv.atlassian.net/secure/attachment/10109/Screenshot+%28284%29.png,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000rr:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyAddresses||Functionality|| In Update Address Page , It Is Taking Different Cities of Different States.",SHOP-126,10125,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 11:40,28-02-2023 15:08,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon

5.Click on  country drop down and select Different country

6.Click on  State  drop down and select a state

7. update the address and check

*OBSERVATIONS:*

 It Is Taking Different Cities of Different States..",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 11:40 AM;63d9e6981b13d42998e12ada;Screenshot (282).png;https://shoppersstackv.atlassian.net/secure/attachment/10108/Screenshot+%28282%29.png,,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000rj:,,SHOP Sprint 3,,,,,,,,,,In Progress
"MyAddresses||Functionality|| In Update Address Page , It Is Taking Different States of Different Countrys.",SHOP-125,10124,Bug,In Progress,SHOP,Shoppersstack,software,shoppers stack,63d9e3e7a5d0c82630693301,,High,,TYSSSeniorDeveloper,63d89dd98978d7a4353878be,Chandrashekhar H D,63d9e6981b13d42998e12ada,Chandrashekhar H D,63d9e6981b13d42998e12ada,24-02-2023 11:33,28-02-2023 15:09,28-02-2023 15:35,,,0,AccountSettings,"*PRE CONDITION:*

User should be Registered and Logged In

URL:
[https://shoppersstack.com/|https://shoppersstack.com/|smart-link] 

Email: [dinga01@gmail.com|mailto:dinga01@gmail.com]
pwd: Dinga@1254

*STEPS TO REPRODUCE THE DEFECT:*

1.Click on  ""Account Settings"" icon
2.Click on ""My Profile"" Menu/Button
3.Click on ""My Addresses"" link
4.Click  on edit icon

5.Click on  country drop down and select Different country

6. Update The Address

*OBSERVATIONS:*

It Is Accepting.",,Chandrashekhar H D,63d9e6981b13d42998e12ada,,,,,,,,,,,,,24/Feb/23 11:33 AM;63d9e6981b13d42998e12ada;Screenshot (280).png;https://shoppersstackv.atlassian.net/secure/attachment/10106/Screenshot+%28280%29.png,24/Feb/23 11:33 AM;63d9e6981b13d42998e12ada;Screenshot (281).png;https://shoppersstackv.atlassian.net/secure/attachment/10107/Screenshot+%28281%29.png,,,,,,,,,SHOP-1,"To work on the following stories Registration, Login, Men, Women, Kids, Electronics, Beauty, Account settings.",,,,,0|i000rb:,,SHOP Sprint 3,,,,,,,,,,In Progress
